"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"hsa-miR-1285-5p",0.1,0.1,0.1,0.1,0.1,0.1,2.433456,3.571929,3.106568,0.1,6.138604,0.1,4.31710033333333,6.138604,0.1,11.0252363333333,8.63089833333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1286",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1287",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1288",0.1,12.4515153333333,0.1,18.512105,14.7709123333333,18.97011,16.0795136666667,16.90926,18.268504,23.690623,22.6479443333333,22.6479443333333,13.118125,11.4643193333333,15.239167,6.70820566666667,10.45803,13.34866,14.12946,14.2472923333333,17.9713256666667,18.633054,15.9789776666667,17.4247566666667,20.858372,0.1,0.1,19.7171436666667,15.1253656666667,0.1
"hsa-miR-1289",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-129-1-3p",0.1,0.1,0.1,0.1,0.1,0.1,17.8696066666667,17.4247566666667,19.1306416666667,0.1,0.1,0.1,0.1,0.1,14.3379426666667,10.9678516666667,8.37585666666667,11.086192,13.0035846666667,0.1,0.1,0.1,0.1,8.064111,0.1,275.200383333333,275.200383333333,316.11805,376.98764,389.680243333333
"hsa-miR-129-2-3p",0.1,0.1,0.1,74.3850833333333,85.31851,86.2314033333333,0.230549666666667,0.1,1.13765966666667,0.1,0.1,0.1,0.1,0.1,13.5073823333333,10.3748856666667,11.5484366666667,49.4696903333333,53.0531103333333,0.1,0.1,0.1,13.118125,12.3402956666667,15.853756,1639.07453333333,1639.07453333333,1704.1382,1902.11516666667,1799.1535
"hsa-miR-129-5p",0.1,0.1,0.1,14.3379426666667,11.368488,17.8696066666667,8.63089833333333,9.91123033333333,10.2907046666667,0.1,0.1,0.1,10.5286526666667,14.9008326666667,0.1,5.648882,2.70596166666667,5.955819,6.65771066666667,0.1,3.91087433333333,2.37349333333333,0.1,0.1,0.1,280.07927,250.63573,307.340936666667,280.07927,290.845873333333
"hsa-miR-1290",1454.52516666667,1799.1535,1454.52516666667,148.437086666667,144.087066666667,141.91469,1639.07453333333,1535.36296666667,1535.36296666667,330.65195,338.573176666667,290.845873333333,79.67572,109.657476666667,492.478366666667,526.979933333333,492.478366666667,275.200383333333,307.340936666667,555.751,602.2713,663.971733333333,1421.01723333333,1799.1535,1799.1535,39.6310923333333,45.24639,33.4154636666667,28.3381266666667,36.9740516666667
"hsa-miR-1291",0.1,0.1,0.1,0.1,0.1,0.1,24.6872413333333,23.9442406666667,24.6872413333333,0.1,0.1,0.1,0.1,0.1,11.4643193333333,10.8946466666667,13.34866,6.138604,0.1,0.1,0.1,2.14721533333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1292-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1293",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1294",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.116807,7.30605133333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1295a",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.07070633333333,1.98753066666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1295b-3p",0.1,0.1,0.1,0.1,0.1,0.1,2.02294766666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1295b-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1296",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.51314633333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1297",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1298",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1299",35.112693,33.8994073333333,34.750759,0.1,12.5383916666667,13.0035846666667,17.4247566666667,18.268504,17.4247566666667,31.071918,29.1079826666667,30.7796273333333,91.3718966666667,82.0109933333333,14.2472923333333,15.6446166666667,13.898425,16.805176,17.159441,31.071918,28.7230623333333,27.0180103333333,15.4163443333333,14.12946,11.086192,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1301",0.1,0.1,0.1,0.1,0.1,0.1,1.08678533333333,1.64638566666667,1.36827833333333,0.1,0.1,0.1,0.1,0.1,7.45579366666667,6.78835166666667,4.16302166666667,8.442647,9.20247866666667,0.1,0.1,0.1,15.239167,13.618674,16.0795136666667,28.8833876666667,22.4873196666667,25.3589993333333,23.690623,32.1092673333333
"hsa-miR-1302",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1303",0.1,0.1,0.1,0.1,0.1,0.1,0.929659,1.121432,1.61012433333333,0.1,0.1,0.1,7.547863,6.966124,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1304-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1304-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,18.406733,17.713749,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1305",61.0343033333333,68.5984233333333,58.202324,49.841282,48.4795646666667,57.6056606666667,58.6235996666667,58.202324,58.202324,69.3023766666667,70.00738,69.3023766666667,55.185873,48.4795646666667,38.089627,38.3939373333333,39.6310923333333,51.667158,55.6458773333333,61.6696566666667,74.8139366666667,77.7113733333333,60.040291,58.202324,62.8675466666667,61.0343033333333,73.1262233333333,69.3023766666667,56.7662876666667,54.037878
